No;İsmi;Üniversite adı;Üniversite statüsü (Devlet, Vakıf, Özel);Enlem koordinatı;Boylam koordinatı;Alanı (m2);İçinde yer alan birimler;Açık adresi
1;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'12""N";"27°10'04""E";100.265,00 m²;Eğitim Fakültesi;Vali Rahmi Bey, Dokuz Eylül Üniversitesi Buca Eğitim Fakültesi, Uğur Mumcu Cd. 135. Sok No:5, 35380 Buca/İzmir
2;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°22'08""N";"27°12'05""E";6.171,82 m²;Denizcilik Fakültesi;Kuruçeşme, Dokuz Eylül Üniversitesi Denizcilik Fakültesi, DEÜ Kaynaklar Yerleşkesi No:13, 35390 Buca/İzmir
3;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'42""N";"27°02'12""E";8.812,34 m²;Diş Hekimliği Fakültesi;İnciraltı, Dokuz Eylül Üniversitesi Diş Hekimliği Fakültesi, Dokuz Eylül Üniversitesi Sağlık Yerleşkesi No:56/17, 35340 Balçova/İzmir
4;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°21'56""N";"27°12'18""E";5.274,51 m²;Edebiyat Fakültesi;Dokuz Eylül Üniversitesi Edebiyat Fakültesi Adatepe Mahallesi Ulusal Adres Kodu: 1297984856, Doğuş Cd. No: 207 D:M, 35390 Tınaztepe Yerleşkesi/Buca
5;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°21'53""N";"27°12'07""E";5.711,2 m²;Fen Fakültesi;Kuruçeşme, Dokuz Eylül Üniversitesi Fen Fakültesi, Tınaztepe Yerleşkesi, 35390 Buca/İzmir
6;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'41""N";"27°02'22""E";1.746,57 m²;Fizik Tedavi ve Rehablitasyon Fakültesi;Dokuz Eylül Üniversite Fizik Tedavi ve Rehabilitasyon Yüksek Okulu, Dokuz Eylül Ünv. Hst. 1460-30, 35330 Balçova/İzmir
7;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°21'57""N";"27°12'32""E";20.777,16 m²;Güzel Sanatlar Fakültesi;Dokuz Eylül Üniversitesi Güzel Sanatlar Fakültesi, Kuruçeşme, DEÜ TINAZTEPE YERLEŞKESİ, Doğuş Cd. NO:209 35390, Buca/İzmir
8;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'37""N";"27°02'08""E";7.904,78 m²;Hemşirelik Fakültesi;DEÜ Hemşirelik Fakültesi, Dokuz Eylül Üniversitesi Sağlık Yerleşkesi, 35340 Balçova/İzmir
9;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°22'13""N";"27°11'49""E";31.291,49 m²;Hukuk Fakültesi;Kuruçeşme, Dokuz Eylül Üniversitesi Hukuk Fakültesi, Tınaztepe Yerleşkesi 207AA, 35390 Buca/İzmir
10;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'06""N";"27°11'13""E";67.600,91 m²;İktisadi ve İdari Bilimler Fakültesi;Adatepe, Dokuz Eylül Üniversitesi İktisadi Ve İdari Bilimler Fakültesi, 35390 Buca/İzmir
11;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'35""N";"27°05'48""E";28.113,55 m²;İlahiyat Fakültesi;Adnan Süvari, Dokuz Eylül Üniversitesi İlahiyat Fakültesi, 108/2. Sk. No:20, 35140 Karabağlar/İzmir
12;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°21'59""N ";"27°12'04""E";8.832,46 m²;İşletme Fakültesi;Dokuz Eylül Üniversitesi İşletme Fakültesi, Dokuz Eylül Üniversitesi Tınaztepe Kampüsü, Doğuş Cd., 35390 Buca/İzmir
13;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°22'06""N";"27°12'41""E";16.113,57 m²;Mimarlık Fakültesi;Kuruçeşme, Dokuz Eylül Üniversitesi Mimarlık Fakültesi, Doğuş Cd. Tınaztepe Kampüsü No:209, 35160 Buca/İzmir
14;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°22'01""N";"27°12'52""E";75.536,33 m²;Mühendislik Fakültesi;Kuruçeşme, Dokuz Eylül Ünv. Mühendislik Fakültesi Dekanlığı, DEÜ Kaynaklar Yerleşkesi, 35390 Buca/İzmir
15;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'35""N";"27°01'52""E";11.216,31 m²;Sağlık Bilimleri Fakültesi; Dokuz Eylül Üniversitesi Sağlık Bilimleri Fakültesi İnciraltı 35330 Balçova/İZMİR
16;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'18""N";"27°01'50""E";78.606,12 m²;Tıp Fakültesi;İnciraltı, Dokuz Eylül Ünv. Tıp Fakültesi Dekanlığı, 35330 Balçova/İzmir
17;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°22'54""N";"27°13'23""E";6.981,56 m²;Turizm Fakültesi;Zafer, Dokuz Eylül Üniversitesi Turizm Fakültesi, 35395 Buca/İzmir
18;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°13'47""N";"28°12'18""E";1.949,00 m²;Veteriner Fakültesi;Cumhuriyet, Dokuz Eylül Üniversitesi Veteriner Fakültesi, Cami Sk. No:3, 35890 Kiraz/İzmir
19;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°22'18""N";"27°11'56""E";3.689,41 m²;Atatürk İlkeleri ve İnkilap Tarihi Enstitüsü;Kuruçeşme Mahallesi, Dokuz Eylül Üniversitesi, Tınaztepe Yerleşkesi, 35390 Buca/İzmir
20;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°24'32""N";"27°02'37""E";27.666,00 m²;Deniz Bilimleri ve Teknolojisi Enstitüsü;Bahçelerarası, Haydar Aliyev Blv., 35330 Balçova/İzmir
21;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'41""N";" 27°05'48""E";1.429,83 m²;Din Bilimleri Araştırma Enstitüsü;Adnan Süvari Mah. 108/2 Sok. No:20 35140 Karabağlar / İZMİR
22;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'12""N";"27°10'10""E";459,45 m²;Eğitim Bilimleri Enstitüsü;Uğur Mumcu Cad. 135 Sokak No:5 35380 Buca/İzmir
23;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°22'15""N";"27°12'14""E";1.908,52 m²;Fen Bilimleri Enstitüsü;Adatepe Mah. Doğuş Cad. No:207AD 35390, Buca/İzmir
24;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°21'55""N";"27°12'13""E";1.514,84 m²;Güzel Sanatlar Enstitüsü;DEÜ Kaynaklar Yerleşkesi, 35390 Buca/İzmir
25;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'38""N";"27°01'50""E";7.184,19 m²;İzmir Uluslararası Biyotıp ve Genom Enstitüsü;Dokuz Eylül Üniversitesi İnciraltı Yerleşkesi, 35340 İzmir
26;DEU;Dokuz Eylül Üniversitesi;Devlet;"38°23'39""N";"27°02'20""E";2.626,57 m²;Onkoloji Enstitüsü;Muzaffer M. Kayhan Onkoloji Hastanesi, İnciraltı Mahallesi Mithatpaşa Cad, Dokuz Eylül Ünv. Hst. No:56/13, 35330 Balçova/İzmir
