Yurt ismi,Statüsü,Enlem Koordinatı,Boylam Koordinatı,Açık Adres,Telefon Numarası,Kapasitesi,Minimum Ücret,Maksimum Ücret
 ÖZEL YEŞILOVA ORTA ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,908,853,526,555,780","2,738,070,848,294,650",OSMANIYE MAH.SANAYI KÜMESI NO.12,2326871622,32,-,-
Adef Özel Kız Öğrenci Yurdu,Özel Yurt,"3,837,139","2,719,014","Kuruçeşme, 203/28. Sk. No:22, 35390 Buca/İzmir",0541 545 60 71,300,"95,000","150,000"
AKADEMİ KIZ ÖĞRENCİ STÜDYO EVLERİ,Özel Yurt,"38,528,131,539,205,400","27,036,384,324,725,500",: Balatçık Mah. 8900 Sok. No: 16 Balatçık / Çiğli / İzmir,(0533) 397 6004,-,-,-
Altay Erkek Öğrenci Apart,Özel Yurt,"38,452,635,332,174,200","27,237,714,116,502,100","Mevlana, 1700. Sk. No:10, 35050 Bornova/İzmir",0552 694 16 78,40,"54,000","63,000"
Arifiye Ortaokul Erkek Ögrenci Yurdu,KYK,"3,846,948,510,340,450","2,719,122,477,680,150","Osmangazi, 574. Sk. 31 A, 35535 Bayraklı/İzmir",02323414140,32,-,-
Atatürk Öğrenci Yurdu,Özel Yurt,"3,808,990,343,786,960","2,774,465,580,770,970","İhsaniye, Gökçen Efe Meydanı No:3, 35900 Tire/İzmir",02325110161,44,-,-
Atatürkçü Düşünce Derneği Gazi Ayşe Altıntaş Yüksek Öğrenim Kız Öğrenci Yurdu,Özel Yurt,"3,841,011,258,303,110","27,128,959,967,576,700","Tınaztepe, Eşrefpaşa Cd. 267 A, 35270 Konak/İzmir",2322500211,62,-,-
Atlas Erkek Öğrenci Yurdu,Özel Yurt,"38,582,226,897,176,400","27,068,116,000,353,700","Ulus, Çanakkale Asfaltı Cd. No:10, 35660 Menemen/İzmir",0 555 826 22 02,-,-,-
Aycan Kız Öğrenci Yurdu,Özel Yurt,"3,858,091,523,389,730","269,816,247,346,398","85. Yıl Cumhuriyet, Doğu Cd. no:59/9, 35665 Menemen/İzmir",0552 809 04 35,-,-,-
Bakırçay Kız Öğrenci Yurdu,Özel Yurt,"3,857,951,507,716,770","2,697,135,252,362,850",Gazi Mustafa Kemal mahallesi 4128 sokak no:9 Bakırçay Kız Öğrenci Yurdu,0535 015 46 46,-,-,-
Barbaros KYK Ögrenci Yurdu Buca,KYK,"38,367,336,010,154,500","2,717,928,673,808,490","Buca Koop., 200/68. Sk No:4, 35390, 35390 Buca Osb/Buca/İzmir",0 232 454 10 50,800,375,650
Batı Plus Yükseköğrenim Kız Öğrenci Yurdu,Özel Yurt,"382,749","271,332","Erzene Mah. 63 Sok. No: 28, Bornova/İzmir",(232) 339 9008,82,-,-
Bati Plus Kiz Ogrenci Yurdu,Özel Yurt,38.46436825,27.22568627,"Erzene, 63. Sk. No:28, 35040 Bornova/İzmir",0532 550 76 94,82,-,"76,000"
Bayraklı Belediyesi Nene Hatun Kız Öğrenci Yurdu,KYK,"3,845,542,557,051,030","27,192,855,102,826,000",Mansuroğlu mah. 269/14 Sok. No:2 Bayraklı - İzmir,0232 348 80 94,80,-,-
BUCA - KYK GAZİ AYŞE HANIM KIZ ÖĞRENCİ YURDU,KYK,"38,372,536","27,186,643",YILDIZ MAHALLESİ 203/38 SOKAK NO:57 BUCA/İZMİR,(0312) 551 6000,-,-,-
BUCA - KYK HANZADE HATUN KIZ ÖĞRENCİ YURDU,KYK,"38,372,536","27,186,643",YILDIZ MAHALLESİ 203/38 SOKAK NO: 54-1 BUCA İZMİR,(0312) 551 6000,-,-,-
